,ID,genero,casado,idade,graduacao,profissao,experiencia_de_trabalho,pontuacao_gasto,tamanho_familia,var_1,seguimentacao
1148,462834,MASCULINO,SIM,31,SIM,DONA_DE_CASA,2.0,BAIXO,2.0,Cat_1,B
1149,462838,FEMININO,SIM,33,SIM,DONA_DE_CASA,1.0,BAIXO,3.0,Cat_5,D
1150,462841,MASCULINO,NAO,21,NAO,ASSISTENCIA_MEDICA,9.0,BAIXO,6.0,Cat_6,A
1151,462845,MASCULINO,SIM,51,SIM,DOUTOR,5.0,MEDIO,7.0,Cat_6,A
1152,462849,MASCULINO,SIM,47,SIM,ARTISTA,0.0,MEDIO,4.0,Cat_6,C
1153,462850,MASCULINO,NAO,20,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,4.0,Cat_6,D
1154,462853,MASCULINO,NAO,21,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,2.0,Cat_6,B
1155,462854,MASCULINO,NAO,22,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,3.0,Cat_6,D
1156,462858,FEMININO,NAO,32,SIM,ENGENHEIRO,9.0,BAIXO,4.0,Cat_6,A
1157,462861,FEMININO,NAO,30,SIM,ASSISTENCIA_MEDICA,8.0,BAIXO,1.0,Cat_6,D
1158,462866,MASCULINO,SIM,61,SIM,DOUTOR,1.0,BAIXO,1.0,Cat_6,D
1159,462868,MASCULINO,SIM,43,NAO,ENTRETENIMENTO,0.0,MEDIO,4.0,Cat_4,D
1160,462869,MASCULINO,NAO,25,SIM,DOUTOR,8.0,BAIXO,1.0,Cat_6,A
1161,462871,MASCULINO,SIM,46,NAO,ENTRETENIMENTO,0.0,MEDIO,3.0,Cat_6,D
1162,462872,FEMININO,SIM,53,NAO,ENGENHEIRO,12.0,BAIXO,2.0,Cat_3,C
1163,462874,MASCULINO,SIM,55,SIM,DOUTOR,0.0,ALTO,2.0,Cat_6,B
1164,462887,FEMININO,SIM,42,NAO,ENGENHEIRO,0.0,BAIXO,3.0,Cat_6,D
1165,462890,FEMININO,NAO,26,SIM,MARKETING,11.0,BAIXO,1.0,Cat_6,D
1166,462891,MASCULINO,NAO,29,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,3.0,Cat_6,A
1167,462894,MASCULINO,SIM,39,SIM,ARTISTA,4.0,MEDIO,4.0,Cat_3,A
1168,462900,MASCULINO,SIM,38,SIM,ARTISTA,1.0,MEDIO,3.0,Cat_6,C
1170,462905,FEMININO,NAO,25,NAO,ARTISTA,6.0,BAIXO,3.0,Cat_6,A
1171,462914,FEMININO,NAO,26,SIM,ARTISTA,4.0,BAIXO,4.0,Cat_6,D
1172,462920,MASCULINO,SIM,51,NAO,EXECUTIVO,0.0,ALTO,5.0,Cat_6,C
1173,462923,MASCULINO,SIM,30,NAO,DONA_DE_CASA,8.0,MEDIO,2.0,Cat_6,C
1175,462927,FEMININO,NAO,33,NAO,DONA_DE_CASA,8.0,BAIXO,2.0,Cat_6,D
1178,462944,MASCULINO,SIM,42,SIM,EXECUTIVO,5.0,ALTO,3.0,Cat_6,C
1179,462951,MASCULINO,SIM,71,SIM,ADVOGADO,2.0,BAIXO,1.0,Cat_6,B
1180,462956,MASCULINO,SIM,35,NAO,ARTISTA,6.0,MEDIO,5.0,Cat_6,C
1181,462958,MASCULINO,NAO,28,NAO,MARKETING,0.0,BAIXO,5.0,Cat_6,D
1182,462963,MASCULINO,SIM,31,SIM,ARTISTA,1.0,MEDIO,2.0,Cat_3,A
1183,462966,MASCULINO,SIM,43,SIM,ARTISTA,2.0,MEDIO,3.0,Cat_6,A
1184,462968,FEMININO,SIM,77,NAO,ADVOGADO,0.0,ALTO,2.0,Cat_6,A
1185,462971,FEMININO,SIM,71,SIM,ENGENHEIRO,0.0,BAIXO,1.0,Cat_6,B
1186,462976,FEMININO,SIM,47,SIM,ENGENHEIRO,0.0,MEDIO,2.0,Cat_6,C
1187,462981,FEMININO,NAO,26,NAO,DONA_DE_CASA,9.0,BAIXO,1.0,Cat_6,D
1188,462982,MASCULINO,SIM,40,NAO,DOUTOR,4.0,MEDIO,4.0,Cat_6,B
1189,462983,FEMININO,SIM,72,SIM,ADVOGADO,0.0,ALTO,2.0,Cat_6,B
1190,462984,FEMININO,SIM,73,SIM,ARTISTA,1.0,ALTO,2.0,Cat_6,D
1191,462986,MASCULINO,NAO,26,SIM,ASSISTENCIA_MEDICA,1.0,BAIXO,6.0,Cat_3,B
1195,462998,MASCULINO,SIM,52,NAO,ENTRETENIMENTO,10.0,MEDIO,4.0,Cat_6,B
1196,463003,MASCULINO,SIM,42,SIM,ARTISTA,3.0,MEDIO,2.0,Cat_6,A
1198,463020,MASCULINO,SIM,28,SIM,ARTISTA,0.0,MEDIO,3.0,Cat_1,B
1199,463023,FEMININO,SIM,43,NAO,DONA_DE_CASA,7.0,BAIXO,1.0,Cat_6,B
1201,463028,MASCULINO,NAO,25,NAO,DOUTOR,0.0,BAIXO,4.0,Cat_6,D
1202,463030,MASCULINO,SIM,52,SIM,EXECUTIVO,1.0,ALTO,3.0,Cat_6,A
1203,463034,FEMININO,NAO,28,SIM,DONA_DE_CASA,9.0,BAIXO,1.0,Cat_6,D
1204,463037,MASCULINO,SIM,56,SIM,ENTRETENIMENTO,0.0,MEDIO,4.0,Cat_6,A
1205,463039,MASCULINO,SIM,38,NAO,EXECUTIVO,12.0,ALTO,7.0,Cat_6,A
1206,463040,MASCULINO,SIM,83,NAO,ADVOGADO,1.0,ALTO,2.0,Cat_6,C
1209,463051,FEMININO,NAO,35,SIM,DONA_DE_CASA,12.0,BAIXO,1.0,Cat_6,C
1210,463052,MASCULINO,SIM,40,SIM,MARKETING,0.0,BAIXO,2.0,Cat_6,B
1213,463069,MASCULINO,NAO,25,SIM,ARTISTA,7.0,BAIXO,1.0,Cat_6,C
1214,463075,MASCULINO,SIM,52,SIM,ARTISTA,0.0,BAIXO,4.0,Cat_6,B
1215,463080,MASCULINO,NAO,33,NAO,ARTISTA,0.0,BAIXO,4.0,Cat_5,B
1216,463083,MASCULINO,NAO,28,SIM,ARTISTA,6.0,BAIXO,3.0,Cat_6,A
1217,463085,FEMININO,NAO,43,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_6,C
1219,463088,FEMININO,SIM,84,SIM,ADVOGADO,1.0,ALTO,2.0,Cat_6,A
1220,463089,MASCULINO,SIM,48,SIM,EXECUTIVO,6.0,ALTO,4.0,Cat_6,C
1221,463090,FEMININO,SIM,55,NAO,ENGENHEIRO,3.0,MEDIO,2.0,Cat_6,D
1222,463091,FEMININO,SIM,37,SIM,DONA_DE_CASA,8.0,BAIXO,1.0,Cat_6,A
1223,463094,MASCULINO,SIM,38,SIM,ENGENHEIRO,11.0,MEDIO,3.0,Cat_6,A
1226,463100,FEMININO,NAO,35,NAO,DONA_DE_CASA,9.0,BAIXO,1.0,Cat_6,D
1227,463102,MASCULINO,NAO,35,NAO,ENTRETENIMENTO,0.0,BAIXO,2.0,Cat_6,A
1228,463104,FEMININO,SIM,46,NAO,ADVOGADO,0.0,BAIXO,1.0,Cat_6,A
1229,463106,FEMININO,SIM,79,SIM,ADVOGADO,0.0,BAIXO,1.0,Cat_6,C
1230,463108,MASCULINO,SIM,63,SIM,ADVOGADO,5.0,ALTO,2.0,Cat_6,B
1232,463120,FEMININO,NAO,35,SIM,ENTRETENIMENTO,0.0,BAIXO,1.0,Cat_6,A
1234,463133,MASCULINO,SIM,50,NAO,ARTISTA,0.0,MEDIO,4.0,Cat_6,C
1236,463144,MASCULINO,SIM,45,SIM,EXECUTIVO,0.0,ALTO,3.0,Cat_6,D
1237,463145,FEMININO,NAO,36,SIM,DONA_DE_CASA,0.0,BAIXO,4.0,Cat_6,A
1238,463146,MASCULINO,SIM,43,NAO,ENTRETENIMENTO,11.0,MEDIO,2.0,Cat_6,B
1239,463148,MASCULINO,SIM,62,SIM,MARKETING,1.0,ALTO,5.0,Cat_6,B
1240,463149,MASCULINO,SIM,57,SIM,ARTISTA,2.0,MEDIO,2.0,Cat_6,A
1241,463150,MASCULINO,NAO,51,NAO,MARKETING,9.0,BAIXO,1.0,Cat_6,A
1242,463151,MASCULINO,SIM,59,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_3,A
1243,463154,FEMININO,SIM,27,NAO,ARTISTA,0.0,BAIXO,4.0,Cat_6,C
1245,463157,MASCULINO,SIM,50,SIM,ENTRETENIMENTO,6.0,BAIXO,3.0,Cat_6,A
1246,463158,MASCULINO,SIM,75,SIM,EXECUTIVO,1.0,ALTO,3.0,Cat_6,D
1247,463163,MASCULINO,NAO,28,NAO,EXECUTIVO,2.0,BAIXO,2.0,Cat_3,C
1248,463164,MASCULINO,SIM,39,SIM,ARTISTA,9.0,MEDIO,2.0,Cat_6,A
1249,463165,FEMININO,SIM,69,SIM,DOUTOR,0.0,MEDIO,2.0,Cat_6,C
1250,463166,FEMININO,NAO,41,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_4,D
1252,463171,FEMININO,SIM,39,NAO,ENTRETENIMENTO,1.0,ALTO,3.0,Cat_3,A
1253,463173,MASCULINO,NAO,47,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_3,C
1254,463174,FEMININO,SIM,62,SIM,ENGENHEIRO,1.0,BAIXO,1.0,Cat_3,B
1256,463181,MASCULINO,SIM,49,SIM,DOUTOR,5.0,MEDIO,3.0,Cat_5,D
1257,463187,FEMININO,SIM,52,SIM,ARTISTA,8.0,BAIXO,2.0,Cat_6,A
1259,463195,FEMININO,NAO,26,SIM,ASSISTENCIA_MEDICA,7.0,BAIXO,2.0,Cat_3,A
1260,463196,FEMININO,SIM,72,SIM,ENGENHEIRO,1.0,BAIXO,1.0,Cat_6,C
1261,463199,FEMININO,SIM,47,SIM,ARTISTA,0.0,BAIXO,3.0,Cat_4,D
1262,463201,FEMININO,NAO,19,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,2.0,Cat_4,D
1263,463203,FEMININO,NAO,21,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,3.0,Cat_7,A
1264,463204,MASCULINO,NAO,39,NAO,ENTRETENIMENTO,1.0,BAIXO,1.0,Cat_6,D
1265,463209,FEMININO,NAO,52,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_6,C
1266,463218,MASCULINO,SIM,37,NAO,ENTRETENIMENTO,8.0,MEDIO,3.0,Cat_6,B
1267,463219,MASCULINO,SIM,51,NAO,ENTRETENIMENTO,0.0,BAIXO,2.0,Cat_6,A
1268,463220,MASCULINO,SIM,48,NAO,ENGENHEIRO,1.0,MEDIO,3.0,Cat_6,B
1270,463224,MASCULINO,SIM,47,SIM,EXECUTIVO,1.0,ALTO,4.0,Cat_6,B
1271,463240,FEMININO,SIM,45,NAO,ENGENHEIRO,0.0,MEDIO,3.0,Cat_6,A
1272,463242,FEMININO,NAO,29,NAO,ENGENHEIRO,5.0,BAIXO,2.0,Cat_6,C
1273,463244,FEMININO,SIM,47,NAO,DOUTOR,1.0,BAIXO,1.0,Cat_6,C
1274,463245,MASCULINO,SIM,41,SIM,ENTRETENIMENTO,8.0,MEDIO,2.0,Cat_6,B
1275,463248,FEMININO,SIM,32,NAO,DONA_DE_CASA,9.0,MEDIO,4.0,Cat_2,C
1276,463251,MASCULINO,SIM,31,NAO,MARKETING,2.0,BAIXO,3.0,Cat_6,D
1277,463256,MASCULINO,NAO,20,NAO,MARKETING,1.0,BAIXO,3.0,Cat_6,A
1278,463258,FEMININO,SIM,46,SIM,ARTISTA,0.0,MEDIO,3.0,Cat_6,B
1279,463260,MASCULINO,SIM,70,SIM,ADVOGADO,3.0,BAIXO,1.0,Cat_6,D
1280,463265,MASCULINO,SIM,65,SIM,ARTISTA,1.0,MEDIO,3.0,Cat_6,D
1282,463267,MASCULINO,SIM,29,NAO,DONA_DE_CASA,9.0,BAIXO,1.0,Cat_4,A
1283,463269,MASCULINO,SIM,41,SIM,ENTRETENIMENTO,3.0,MEDIO,2.0,Cat_3,A
1285,463273,MASCULINO,SIM,38,SIM,ENTRETENIMENTO,9.0,MEDIO,2.0,Cat_3,C
1287,463277,FEMININO,SIM,30,NAO,ENGENHEIRO,6.0,BAIXO,2.0,Cat_3,A
1288,463278,FEMININO,SIM,63,SIM,ENGENHEIRO,1.0,BAIXO,1.0,Cat_3,B
1289,463280,MASCULINO,SIM,42,SIM,ARTISTA,6.0,MEDIO,2.0,Cat_3,B
1290,463292,MASCULINO,SIM,41,NAO,EXECUTIVO,0.0,ALTO,3.0,Cat_6,C
1292,463308,MASCULINO,SIM,46,SIM,ENGENHEIRO,1.0,BAIXO,2.0,Cat_3,C
1293,463316,FEMININO,SIM,83,NAO,ADVOGADO,0.0,ALTO,2.0,Cat_6,B
1294,463323,MASCULINO,SIM,27,SIM,ASSISTENCIA_MEDICA,3.0,BAIXO,2.0,Cat_6,D
1295,463324,FEMININO,NAO,22,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,4.0,Cat_2,B
1296,463330,MASCULINO,NAO,20,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,4.0,Cat_6,A
1297,463332,FEMININO,SIM,40,SIM,ENGENHEIRO,0.0,BAIXO,2.0,Cat_6,A
1298,463334,FEMININO,NAO,28,SIM,DOUTOR,0.0,BAIXO,6.0,Cat_4,D
1300,463338,MASCULINO,SIM,28,NAO,ENTRETENIMENTO,0.0,BAIXO,2.0,Cat_3,B
1301,463340,FEMININO,NAO,20,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,4.0,Cat_3,D
1302,463341,FEMININO,SIM,53,NAO,ENGENHEIRO,0.0,MEDIO,6.0,Cat_3,A
1303,463348,FEMININO,SIM,35,SIM,DOUTOR,0.0,BAIXO,2.0,Cat_6,A
1305,463356,MASCULINO,NAO,30,SIM,ASSISTENCIA_MEDICA,6.0,BAIXO,4.0,Cat_2,D
1306,463360,FEMININO,SIM,46,SIM,ARTISTA,2.0,BAIXO,1.0,Cat_6,B
1307,463367,FEMININO,NAO,36,SIM,ENGENHEIRO,3.0,BAIXO,4.0,Cat_2,D
1308,463368,FEMININO,SIM,38,SIM,ARTISTA,4.0,ALTO,3.0,Cat_2,A
1310,463375,FEMININO,SIM,45,SIM,DOUTOR,1.0,BAIXO,1.0,Cat_4,D
1311,463376,FEMININO,SIM,46,SIM,EXECUTIVO,5.0,ALTO,2.0,Cat_6,A
1312,463378,MASCULINO,NAO,25,SIM,DOUTOR,0.0,BAIXO,1.0,Cat_3,A
1313,463379,MASCULINO,NAO,27,NAO,MARKETING,0.0,BAIXO,7.0,Cat_6,A
1314,463386,FEMININO,SIM,42,SIM,DOUTOR,6.0,BAIXO,1.0,Cat_3,A
1316,463391,MASCULINO,SIM,55,SIM,DOUTOR,6.0,BAIXO,1.0,Cat_3,B
1319,463406,MASCULINO,NAO,31,NAO,MARKETING,0.0,BAIXO,4.0,Cat_3,D
1320,463409,FEMININO,SIM,38,NAO,ENTRETENIMENTO,6.0,MEDIO,5.0,Cat_2,B
1322,463420,FEMININO,SIM,59,SIM,ARTISTA,2.0,ALTO,3.0,Cat_6,D
1323,463423,MASCULINO,SIM,61,NAO,EXECUTIVO,1.0,MEDIO,3.0,Cat_6,B
1324,463427,FEMININO,SIM,27,SIM,ENGENHEIRO,1.0,BAIXO,2.0,Cat_6,D
1325,463428,MASCULINO,SIM,26,NAO,EXECUTIVO,1.0,ALTO,5.0,Cat_6,A
1327,463437,MASCULINO,SIM,51,SIM,ARTISTA,0.0,MEDIO,3.0,Cat_6,C
1328,463438,MASCULINO,SIM,47,NAO,ENTRETENIMENTO,0.0,MEDIO,3.0,Cat_6,B
1329,463443,MASCULINO,SIM,52,SIM,ARTISTA,1.0,MEDIO,4.0,Cat_6,A
1331,463447,MASCULINO,SIM,57,NAO,ENGENHEIRO,1.0,MEDIO,2.0,Cat_6,A
1332,463452,FEMININO,SIM,86,SIM,ADVOGADO,1.0,ALTO,2.0,Cat_6,D
1335,463462,FEMININO,SIM,43,NAO,ENGENHEIRO,0.0,MEDIO,4.0,Cat_6,A
1339,463475,FEMININO,SIM,43,SIM,DOUTOR,0.0,BAIXO,1.0,Cat_6,A
1340,463477,MASCULINO,NAO,31,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,4.0,Cat_4,B
1341,463483,MASCULINO,SIM,30,NAO,EXECUTIVO,1.0,ALTO,2.0,Cat_6,D
1342,463491,MASCULINO,SIM,27,SIM,DOUTOR,8.0,MEDIO,3.0,Cat_6,B
1344,463499,MASCULINO,SIM,47,SIM,EXECUTIVO,0.0,BAIXO,2.0,Cat_6,A
1345,463500,MASCULINO,SIM,35,SIM,EXECUTIVO,1.0,ALTO,4.0,Cat_6,A
1346,463503,MASCULINO,SIM,25,SIM,ENTRETENIMENTO,0.0,BAIXO,2.0,Cat_7,D
1347,463508,FEMININO,SIM,25,NAO,ARTISTA,0.0,BAIXO,3.0,Cat_6,D
1348,463509,MASCULINO,NAO,38,NAO,ARTISTA,1.0,BAIXO,1.0,Cat_3,C
1349,463512,FEMININO,NAO,32,NAO,ENGENHEIRO,0.0,BAIXO,3.0,Cat_6,A
1350,463516,MASCULINO,SIM,48,NAO,EXECUTIVO,1.0,ALTO,6.0,Cat_6,A
1351,463527,FEMININO,NAO,38,NAO,ARTISTA,10.0,BAIXO,1.0,Cat_6,A
1354,463533,FEMININO,SIM,85,SIM,ARTISTA,1.0,ALTO,2.0,Cat_2,D
1355,463537,FEMININO,NAO,25,SIM,ASSISTENCIA_MEDICA,1.0,BAIXO,3.0,Cat_6,B
1356,463545,FEMININO,NAO,31,SIM,DOUTOR,1.0,BAIXO,2.0,Cat_4,D
1357,463548,FEMININO,NAO,20,NAO,ASSISTENCIA_MEDICA,3.0,BAIXO,4.0,Cat_4,D
1358,463550,FEMININO,SIM,37,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_4,B
1359,463553,MASCULINO,NAO,33,SIM,ARTISTA,8.0,BAIXO,2.0,Cat_6,A
1360,463554,FEMININO,NAO,52,NAO,ARTISTA,5.0,BAIXO,1.0,Cat_6,C
1361,463557,MASCULINO,NAO,26,SIM,DOUTOR,0.0,BAIXO,3.0,Cat_6,A
1362,463560,FEMININO,NAO,21,NAO,ASSISTENCIA_MEDICA,9.0,BAIXO,5.0,Cat_4,D
1363,463561,FEMININO,NAO,42,SIM,ENGENHEIRO,0.0,BAIXO,1.0,Cat_6,C
1365,463572,MASCULINO,SIM,39,SIM,ARTISTA,0.0,MEDIO,4.0,Cat_6,D
1366,463577,FEMININO,SIM,41,SIM,DOUTOR,1.0,MEDIO,2.0,Cat_6,D
1367,463586,FEMININO,NAO,18,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,5.0,Cat_6,A
1368,463588,MASCULINO,NAO,22,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,1.0,Cat_6,D
1369,463598,FEMININO,SIM,25,NAO,ENGENHEIRO,2.0,BAIXO,2.0,Cat_6,A
1371,463603,FEMININO,NAO,18,NAO,ENTRETENIMENTO,0.0,BAIXO,4.0,Cat_2,A
1372,463605,FEMININO,NAO,20,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,5.0,Cat_5,D
1373,463606,MASCULINO,NAO,21,NAO,MARKETING,0.0,BAIXO,4.0,Cat_2,D
1374,463614,FEMININO,NAO,25,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,4.0,Cat_3,A
1376,463616,FEMININO,SIM,46,NAO,ENGENHEIRO,0.0,MEDIO,5.0,Cat_3,A
1377,463619,MASCULINO,SIM,68,NAO,EXECUTIVO,1.0,ALTO,2.0,Cat_6,A
1378,463620,MASCULINO,NAO,21,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,4.0,Cat_2,B
1379,463623,MASCULINO,NAO,27,SIM,DOUTOR,0.0,BAIXO,3.0,Cat_6,C
1380,463624,MASCULINO,SIM,59,SIM,EXECUTIVO,1.0,ALTO,4.0,Cat_6,C
1381,463628,FEMININO,NAO,26,SIM,ARTISTA,8.0,BAIXO,1.0,Cat_6,B
1382,463632,MASCULINO,SIM,26,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_6,D
1383,463638,FEMININO,SIM,32,NAO,DOUTOR,1.0,MEDIO,2.0,Cat_7,D
1384,463639,MASCULINO,NAO,33,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,6.0,Cat_6,A
1385,463640,MASCULINO,NAO,28,SIM,ASSISTENCIA_MEDICA,0.0,BAIXO,3.0,Cat_6,A
1386,463644,FEMININO,NAO,30,SIM,ASSISTENCIA_MEDICA,0.0,BAIXO,3.0,Cat_7,A
1388,463654,FEMININO,NAO,41,NAO,ENGENHEIRO,3.0,BAIXO,3.0,Cat_3,B
1389,463655,MASCULINO,SIM,42,SIM,ARTISTA,13.0,BAIXO,2.0,Cat_6,A
1390,463661,FEMININO,SIM,45,SIM,DOUTOR,1.0,MEDIO,4.0,Cat_6,A
1392,463664,FEMININO,NAO,29,NAO,ENGENHEIRO,0.0,BAIXO,1.0,Cat_6,D
1393,463665,MASCULINO,SIM,46,SIM,ENTRETENIMENTO,1.0,MEDIO,3.0,Cat_6,A
1394,463669,FEMININO,SIM,26,SIM,MARKETING,5.0,ALTO,4.0,Cat_2,D
1397,463699,FEMININO,SIM,38,SIM,MARKETING,9.0,BAIXO,3.0,Cat_6,D
1398,463703,MASCULINO,SIM,69,NAO,EXECUTIVO,1.0,ALTO,4.0,Cat_6,C
1399,463704,MASCULINO,NAO,46,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,D
1400,463707,FEMININO,NAO,40,NAO,ARTISTA,0.0,BAIXO,1.0,Cat_5,A
1401,463713,MASCULINO,NAO,25,NAO,ENGENHEIRO,9.0,BAIXO,3.0,Cat_4,C
1403,463716,MASCULINO,NAO,26,NAO,DOUTOR,1.0,BAIXO,4.0,Cat_6,D
1404,463718,FEMININO,NAO,33,SIM,ARTISTA,0.0,BAIXO,4.0,Cat_6,A
1405,463722,MASCULINO,SIM,56,SIM,EXECUTIVO,8.0,ALTO,2.0,Cat_6,A
1406,463724,MASCULINO,NAO,30,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,5.0,Cat_4,D
1407,463726,FEMININO,NAO,26,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,3.0,Cat_6,C
1408,463727,FEMININO,NAO,28,NAO,DOUTOR,0.0,BAIXO,5.0,Cat_3,A
1409,463728,FEMININO,SIM,28,NAO,DOUTOR,0.0,MEDIO,6.0,Cat_6,A
1410,463732,MASCULINO,NAO,20,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,4.0,Cat_6,D
1411,463734,MASCULINO,SIM,41,NAO,EXECUTIVO,1.0,MEDIO,3.0,Cat_6,A
1412,463741,MASCULINO,SIM,37,SIM,ARTISTA,0.0,ALTO,3.0,Cat_6,C
1413,463745,MASCULINO,SIM,59,SIM,ARTISTA,1.0,MEDIO,3.0,Cat_3,A
1414,463747,FEMININO,SIM,43,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_6,A
1415,463748,MASCULINO,NAO,20,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,3.0,Cat_6,A
1416,463753,FEMININO,NAO,30,SIM,ASSISTENCIA_MEDICA,1.0,BAIXO,5.0,Cat_2,A
1417,463756,MASCULINO,SIM,66,NAO,EXECUTIVO,0.0,MEDIO,2.0,Cat_6,C
1418,463761,MASCULINO,SIM,28,SIM,ARTISTA,1.0,MEDIO,3.0,Cat_6,D
1419,463764,MASCULINO,SIM,49,SIM,ENTRETENIMENTO,0.0,MEDIO,3.0,Cat_6,B
1421,463767,MASCULINO,SIM,27,SIM,ARTISTA,9.0,MEDIO,2.0,Cat_6,D
1422,463768,FEMININO,SIM,35,NAO,ENGENHEIRO,1.0,BAIXO,1.0,Cat_4,A
1423,463774,MASCULINO,SIM,33,SIM,ASSISTENCIA_MEDICA,0.0,MEDIO,2.0,Cat_6,A
1424,463776,FEMININO,SIM,36,SIM,ARTISTA,2.0,MEDIO,2.0,Cat_6,A
1425,463782,FEMININO,NAO,27,SIM,ARTISTA,9.0,BAIXO,1.0,Cat_6,D
1427,463784,FEMININO,NAO,31,NAO,ENGENHEIRO,1.0,BAIXO,5.0,Cat_4,D
1428,463785,FEMININO,NAO,30,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,4.0,Cat_4,D
1430,463790,MASCULINO,SIM,47,NAO,EXECUTIVO,1.0,BAIXO,4.0,Cat_4,C
1433,463799,FEMININO,NAO,36,SIM,ARTISTA,1.0,BAIXO,4.0,Cat_2,C
1434,463800,FEMININO,NAO,30,SIM,ENGENHEIRO,1.0,BAIXO,3.0,Cat_6,D
1435,463804,MASCULINO,SIM,60,SIM,ARTISTA,9.0,BAIXO,1.0,Cat_6,B
1436,463807,FEMININO,NAO,32,SIM,ASSISTENCIA_MEDICA,0.0,BAIXO,3.0,Cat_4,A
1437,463811,FEMININO,SIM,32,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_4,C
1438,463814,FEMININO,NAO,28,NAO,ASSISTENCIA_MEDICA,7.0,BAIXO,3.0,Cat_5,A
1439,463816,MASCULINO,SIM,46,SIM,ASSISTENCIA_MEDICA,2.0,ALTO,4.0,Cat_7,B
1440,463818,FEMININO,SIM,38,SIM,ARTISTA,4.0,BAIXO,1.0,Cat_6,B
1442,463821,MASCULINO,SIM,30,SIM,ENTRETENIMENTO,7.0,BAIXO,2.0,Cat_6,D
1444,463827,FEMININO,SIM,46,SIM,ENGENHEIRO,1.0,MEDIO,4.0,Cat_6,D
1445,463828,MASCULINO,SIM,37,NAO,ENGENHEIRO,0.0,MEDIO,2.0,Cat_1,C
1446,463830,FEMININO,NAO,25,SIM,ENGENHEIRO,2.0,BAIXO,3.0,Cat_6,B
1447,463834,FEMININO,SIM,43,SIM,ENGENHEIRO,1.0,MEDIO,4.0,Cat_6,A
1448,463835,MASCULINO,NAO,32,NAO,MARKETING,0.0,BAIXO,4.0,Cat_6,B
1449,463842,FEMININO,SIM,50,SIM,ENGENHEIRO,1.0,ALTO,4.0,Cat_6,D
1450,463847,MASCULINO,SIM,43,NAO,ARTISTA,3.0,MEDIO,3.0,Cat_6,B
1451,463856,MASCULINO,SIM,37,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_4,B
1452,463857,MASCULINO,SIM,61,NAO,ASSISTENCIA_MEDICA,0.0,ALTO,4.0,Cat_7,D
1453,463859,MASCULINO,SIM,39,SIM,ARTISTA,5.0,MEDIO,2.0,Cat_6,A
1454,463865,MASCULINO,SIM,46,SIM,ARTISTA,1.0,MEDIO,5.0,Cat_6,B
1455,463877,MASCULINO,SIM,37,NAO,ENTRETENIMENTO,0.0,MEDIO,4.0,Cat_4,D
1456,463880,FEMININO,SIM,36,NAO,ENGENHEIRO,0.0,BAIXO,3.0,Cat_2,A
1457,463884,FEMININO,NAO,28,NAO,ARTISTA,0.0,BAIXO,1.0,Cat_6,B
1458,463891,MASCULINO,SIM,86,SIM,ADVOGADO,0.0,BAIXO,1.0,Cat_6,B
1459,463892,MASCULINO,NAO,42,SIM,ARTISTA,8.0,BAIXO,1.0,Cat_6,B
1460,463904,MASCULINO,SIM,82,SIM,EXECUTIVO,1.0,BAIXO,1.0,Cat_6,D
1461,463917,FEMININO,NAO,18,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,8.0,Cat_4,B
1462,463923,FEMININO,NAO,18,NAO,ENGENHEIRO,0.0,BAIXO,4.0,Cat_6,D
1463,463924,FEMININO,NAO,36,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_5,A
1464,463926,FEMININO,NAO,26,NAO,ENGENHEIRO,1.0,BAIXO,6.0,Cat_6,A
